mission,id,name,disposition,period_days,radius_re,snr
Kepler,7287995,Kepler-81 c,CONFIRMED,12.03987488,2.18,57.6
Kepler,7287995,Kepler-81 d,CONFIRMED,20.83762895,1.42,14.9
Kepler,3247396,,FALSE POSITIVE,8.8111022,63.66,76.8
Kepler,7303253,Kepler-711 b,CONFIRMED,23.58917143,3.16,53.3
Kepler,5094751,Kepler-109 b,CONFIRMED,6.481633073,2.54,125.6
Kepler,7678434,Kepler-716 b,CONFIRMED,10.37168928,3.2,64.5
Kepler,7678434,Kepler-716 c,CONFIRMED,3.96996298,1.78,15
Kepler,7685981,Kepler-717 b,CONFIRMED,4.40841331,2.66,45.1
Kepler,7708215,,FALSE POSITIVE,7.9426176,4.68,60.4
Kepler,7373451,Kepler-712 c,CONFIRMED,226.8904775,4.53,46.8
Kepler,7377033,,FALSE POSITIVE,1.956811408,21.58,125.4
Kepler,7380537,,CANDIDATE,2.688899233,12.04,1011.6
Kepler,7434875,Kepler-247 c,CONFIRMED,9.439459486,4.16,175.2
Kepler,8349582,Kepler-95 b,CONFIRMED,11.523067458,3.13,142
Kepler,7434875,Kepler-247 d,CONFIRMED,20.47748843,2.92,52.7
Kepler,7434875,Kepler-247 b,CONFIRMED,3.336123113,1.74,41.6
Kepler,7455287,Kepler-54 b,CONFIRMED,8.01078456,1.72,48.5
Kepler,7455287,Kepler-54 c,CONFIRMED,12.07134205,1.29,31
Kepler,7455287,Kepler-54 d,CONFIRMED,20.99587872,1.3,18.2
Kepler,7458762,Kepler-713 b,CONFIRMED,7.41113177,2.45,50.4
Kepler,7552344,,FALSE POSITIVE,1.000747038,4.14,147.4
Kepler,757450,Kepler-75 b,CONFIRMED,8.884922995,10.51,388.2
Kepler,7585481,Kepler-714 b,CONFIRMED,8.09888906,8.95,435.9
Kepler,7663691,Kepler-715 b,CONFIRMED,10.00653012,3.52,71.9
Kepler,5812701,Kepler-448 b,CONFIRMED,17.855221681,13.16,915.7
Kepler,8013419,,CANDIDATE,12.732624065,4.87,210.5
Kepler,8018547,,CANDIDATE,83.92494032,4.78,182.1
Kepler,8039892,Kepler-719 b,CONFIRMED,5.007316661,6.96,431.4
Kepler,8150320,Kepler-55 d,CONFIRMED,2.211116989,1.85,42.6
Kepler,8150320,Kepler-55 b,CONFIRMED,27.9541337,1.9,25.4
Kepler,11086270,Kepler-110 b,CONFIRMED,12.69104387,2.57,60.2
Kepler,7767559,,FALSE POSITIVE,4.409409243,10.95,85.8
Kepler,7825899,Kepler-248 c,CONFIRMED,16.23947096,4.14,123.8
Kepler,7825899,Kepler-248 b,CONFIRMED,6.308201629,2.96,86.2
Kepler,7849854,Kepler-718 b,CONFIRMED,2.052349884,13.12,1072.1
Kepler,7870390,Kepler-83 b,CONFIRMED,9.7704486,2.23,58
Kepler,7870390,Kepler-83 d,CONFIRMED,5.169804269,1.66,41.4
Kepler,5094751,Kepler-109 c,CONFIRMED,21.22261195,2.48,114.9
Kepler,7870390,Kepler-83 c,CONFIRMED,20.09017037,2.25,36.9
Kepler,7907423,Kepler-249 c,CONFIRMED,7.11373257,1.16,44.4
Kepler,7907423,Kepler-249 b,CONFIRMED,3.306551643,0.91,37.8
Kepler,7907423,Kepler-249 d,CONFIRMED,15.36845737,1.11,30.9
Kepler,7938496,Kepler-1730 b,CONFIRMED,13.81020318,4.56,46.2
Kepler,8490993,Kepler-722 b,CONFIRMED,4.093578461,2.85,36.4
Kepler,8490993,Kepler-722 c,CONFIRMED,105.145959,3.43,15.4
Kepler,8505670,Kepler-252 c,CONFIRMED,10.8484518,2.34,64.5
Kepler,8505670,Kepler-252 b,CONFIRMED,6.66833241,1.18,14.2
