mission,id,name,disposition,period_days,radius_re,snr
TESS,29344935,109.01,KP,2.76676000983202,12.2867388747802,
TESS,361034196,1090.01,FP,2.19296,22.7769,
TESS,193413306,1091.01,PC,1.725841,15.0024,
TESS,387079085,1092.01,FP,1.1923,30.666,
TESS,382331352,1093.01,FP,11.47606,,
TESS,136274063,1094.01,APC,0.5971314,9.08382,
TESS,375223080,1095.01,PC,1.48213861473008,13.7339261157933,
TESS,375225453,1096.01,FP,0.920952632017001,5.73490885605671,
TESS,360630575,1097.01,CP,9.188506,2.16591,
TESS,360630575,1097.02,CP,13.9028390651789,2.61368481781087,
TESS,383390264,1098.01,CP,10.1826982735026,3.05380568419526,
TESS,290348383,1099.01,CP,6.441006,2.56374,
TESS,281459670,110.01,KP,3.17435042404771,14.9172255754043,
TESS,318608749,1100.01,FP,20.073158774214,4.05069064139763,
TESS,271581073,1101.01,FP,2.66903,9.36823,
TESS,311890977,1102.01,FP,6.63371,2.75375,
TESS,351603103,1103.01,PC,2.94308,45.3525,
TESS,451599528,1104.01,FP,341.28112811271,4.75318917721164,
TESS,274151135,1105.01,PC,10.8680523,2.90726,
TESS,384513078,1106.01,PC,11.1149,14.7645,
TESS,394561119,1107.01,CP,4.07823916030907,13.8981739612246,
TESS,295599256,1108.01,FP,7.14386,22.1531,
TESS,50309953,1109.01,FP,7.04083,8.46404,
TESS,355703913,111.01,KP,2.10615687963452,13.0868720391028,
TESS,446549905,1110.01,FP,2.4545635,11.1276,
TESS,412014494,1111.01,FP,11.4756978,14.1098,
TESS,369864738,1112.01,FP,2.78186,4.92567,
TESS,290348382,1113.01,FP,6.4410082,4.59203,
TESS,409934330,1114.01,APC,2.4887726,,
TESS,379286801,1115.01,APC,4.45199,15.8858,
TESS,304100538,1116.01,PC,5.01007081494614,2.31073940326694,
TESS,295541511,1117.01,PC,2.2281625,2.56778,
TESS,90919952,1118.01,FP,4.13812,,
TESS,261369656,1119.01,APC,10.95663,23.9726,
TESS,388104525,112.01,KP,2.49979959810286,13.8516092815726,
TESS,143257766,1120.01,FP,1.66226,13.3343,
TESS,24094603,1121.01,FP,4.07611,,
TESS,304774444,1122.01,FP,3.6245513,4.3503,
TESS,469782185,1123.01,APC,1.20928,15.1764,
TESS,128790976,1124.01,APC,3.5187707,14.0061,
TESS,80166433,1125.01,PC,0.772482487094112,4.1624907035827,
TESS,278683844,119.02,PC,10.6917268,1.79811,
TESS,287196418,1190.01,APC,3.6950015,14.1288,
TESS,237185205,1191.01,FP,15.7335693,24.3218,
TESS,158276040,1192.01,APC,45.9403293,28.3312,
TESS,89643259,1193.01,FP,2.2219839,15.4416,
TESS,147950620,1194.01,CP,2.3106428,8.76741,
TESS,24364065,1195.01,FP,4.05135,14.2359,
TESS,69068526,1196.01,PC,5.5376617,15.6557,
TESS,92677094,1197.01,PC,4.5960377,16.2166,
TESS,203189770,1198.01,KP,3.612771,19.3662,
TESS,99869022,1199.01,CP,3.6714717,10.678,
TESS,394137592,120.01,CP,11.535076,12.215808,
TESS,288185138,1200.01,FP,0.8352406,6.4875,
TESS,29960110,1201.01,CP,2.49197708495188,2.21875850704585,
TESS,327017634,1202.01,FP,,1.710706,
TESS,23434737,1203.01,CP,25.5195306914712,2.96414609843449,
TESS,467666275,1204.01,PC,1.38121146571473,2.24023613074836,
TESS,287776397,1205.01,PC,2.39227028059072,3.59059227977842,
TESS,202563254,1139.01,PC,4.4780798,11.3678,
TESS,25155310,114.01,KP,3.28878982693448,10.5135877321783,
TESS,320525204,1140.01,FP,13.7431084,12.05,
TESS,159510109,1141.01,FP,16.9487087166685,45.220450534938,
TESS,284450803,1142.01,FP,3.3686634,42.2321,
TESS,160268701,1143.01,FP,11.2071839,17.4989,
TESS,28230919,1144.01,KP,4.8878037,5.29152,
TESS,350995812,1145.01,FP,2.97164,,
TESS,21755546,1146.01,FP,0.660178983608815,6.16724867698042,
TESS,288391628,1147.01,FP,10.9278415,49.1695,
TESS,349827430,1148.01,KP,5.5514888,15.8043,
TESS,117789567,1149.01,APC,2.32024175856469,,
TESS,281541555,115.01,KP,4.74237090118084,10.5505922405536,
TESS,16740101,1150.01,KP,1.48109028542409,20.3402421389055,
TESS,69679391,1151.01,KP,3.4741012,21.2912,
TESS,237184773,1152.01,FA,6.50119111922293,,
TESS,154840461,1153.01,APC,6.0360758,9.86763,
TESS,459970307,1154.01,PC,21.745537,2.10208,
TESS,161450762,1155.01,FP,1.32003,,
TESS,117256577,1156.01,FP,1.6865822,,
TESS,147576037,1157.01,FP,13.0727479,35.7944,
TESS,379931600,1158.01,FP,2.9258727,24.4055,
TESS,48188920,1159.01,FP,0.73774,5.28215,
TESS,238176110,116.01,KP,2.79858018416552,11.9514992915279,
TESS,89510024,1160.01,FP,2.3664127,,
TESS,158324245,1161.01,KP,1.7635881,,
TESS,13419950,1162.01,PC,7.3166682,,
TESS,375542276,1163.01,PC,3.07716123135664,,
TESS,16102323,1164.01,FP,3.2077145,,
TESS,458478250,1165.01,KP,2.2552845,14.688,
TESS,138361973,1166.01,FP,1.8824539,8.29008,
TESS,232967666,1167.01,FP,15.196,4.96345,
TESS,41330864,1168.01,FP,2.1358631,23.6019,
TESS,302518439,1169.01,PC,6.7075429,17.4647,
TESS,322307342,117.01,KP,3.58629619986471,16.4747610755407,
TESS,294176967,1170.01,FP,1.8296155,29.3616,
